ID,subID,nMssg,Data,nomPublisher,"Publisher"
0x380,no,3,IMUData,IMUPub,"can/IMU"
0x392,no,3,GPSVelData,GPSSpeedPub,"can/gps_speed"
0x384,no,3,!!!!!!!!!!!!!!!!!!!!,,
0x394,no,2,IMUData,GPSPub,"can/gps"
0x382,no,3,IMUData,no,"no"
0x187,0x01,1,InvSpeedData,steeringAnglePub,"can/steering_angle"
0x185,0x01,1,!!!!!!!!!!!!!!!!!!!!,no,"no"
0x181,0x30,1,InvSpeedData,motorSpeedPub,"/can/inv_speed"
0x182 (Varrios),yes,1,!!!!!!!!!!!!!!!!!!!!!,ASStatusPub,"/can/AS_status"
0x18B,no,1,RESData,RESRangePub,"/can/RESRange"
